feature,mean,std
MACD_line_pct,0.0014841773202623316,0.013398939383898141
MACD_signal_pct,0.0014052118588285699,0.012791093002167117
MACD_hist_pct,7.896546143376179e-05,0.00391159364688074
EMA_12_26_ratio,0.0014841773202623316,0.013398939383898141
EMA_50_200_ratio,0.01577640781296013,0.0608462922590701
price_to_EMA50_ratio,0.005664129722239328,0.04036085736788717
price_to_EMA200_ratio,0.02272870414958027,0.08564159335977627
MACD_hist_weekly_pct,0.000541214765285737,0.008319711896994179
vix_log,2.8889160124069093,0.36943616178999267
bond_yield_diff,-0.0007653709745397299,0.056583035881070866
gold_logret,0.0003374877567694092,0.010986323756723449
wti_logret,0.0001244557763614722,0.023550725416354716
fed_rate_diff,-0.02109397491260539,0.16299355877743624
m2_yoy,0.061427916873806145,0.01837332202112444
