feature,mean,std
MACD_line_pct,0.0008630481941355444,0.014328030495770987
MACD_signal_pct,0.000785144303862847,0.013707833387275522
MACD_hist_pct,7.79038902726977e-05,0.0041465671686040555
EMA_12_26_ratio,0.0008630481941355444,0.014328030495770987
EMA_50_200_ratio,0.010044396591039255,0.06590596381954275
price_to_EMA50_ratio,0.0035635239992347968,0.04316058777005848
price_to_EMA200_ratio,0.015039751945247707,0.09216613728761498
MACD_hist_weekly_pct,0.0005239300911608545,0.008940211565928436
vix_log,2.9496335447598194,0.3706345778214576
bond_yield_diff,-0.0008703654128280612,0.06027318916777545
gold_logret,0.00032810666311341736,0.011691342226728452
wti_logret,3.8024314487299884e-05,0.023896836636643642
fed_rate_diff,-0.034482758620689655,0.17385804204069807
m2_yoy,0.06363402313981806,0.019057652702780245
