feature,mean,std
MACD_line_pct,0.0012889822625995338,0.013773259297214123
MACD_signal_pct,0.0012066436901640586,0.013171933657321186
MACD_hist_pct,8.23385724354752e-05,0.00397973711771186
EMA_12_26_ratio,0.0012889822625995338,0.013773259297214123
EMA_50_200_ratio,0.013310540928989341,0.0632510364261776
price_to_EMA50_ratio,0.00499701954802251,0.041477439064273855
price_to_EMA200_ratio,0.01967328066847373,0.08874274511106574
MACD_hist_weekly_pct,0.0006068850042247348,0.00853062353608009
vix_log,2.9055057107962137,0.3786805704836147
bond_yield_diff,-0.000742201630128633,0.05821752251263885
gold_logret,0.0003426329891274824,0.011360690211390034
wti_logret,0.00013639715052783213,0.023872650230971036
fed_rate_diff,-0.025529816513761464,0.16640492114276725
m2_yoy,0.0635573091970897,0.018059726992622042
