feature,mean,std
MACD_line_pct,0.0005698389652050687,0.015086163996320184
MACD_signal_pct,0.00047210838149270006,0.014454171802340652
MACD_hist_pct,9.773058371236878e-05,0.0043152188385557995
EMA_12_26_ratio,0.0005698389652050687,0.015086163996320184
EMA_50_200_ratio,0.005530030912635287,0.06902141479033197
price_to_EMA50_ratio,0.0025790648603063646,0.04543386934384688
price_to_EMA200_ratio,0.009670896082013637,0.09667788627189239
MACD_hist_weekly_pct,0.0007181196494223163,0.009461235112219867
vix_log,2.985433895103551,0.3761332924605928
bond_yield_diff,-0.0007754248218894751,0.06215381304005604
gold_logret,0.00041481035637253087,0.01203090297843812
wti_logret,0.0003351939646035223,0.023940638437696466
fed_rate_diff,-0.03990754548165821,0.18581967999002297
m2_yoy,0.06422732886192518,0.02032007388399658
