date,portfolio_value,step_return,scalar,turnover,cash_weight,eqw_matched_return
2018-01-04,1003113.0684571778,0.0031130684571778404,1.0,1.0,0.0,0.0031130684571778404
2018-01-05,1006258.6448762311,0.0031358144141131108,1.0,0.0,0.0,0.0031358144141131108
2018-01-08,1009646.2791310713,0.003366564125525479,1.0,0.0,0.0,0.003366564125525479
2018-01-09,1009005.5855311727,-0.0006345723379974213,1.0,0.0,0.0,-0.0006345723379974213
2018-01-10,1005004.7794352054,-0.0039650980661927165,1.0,0.014293872413890435,0.0,-0.0039650980661927165
2018-01-11,1008681.0071706258,0.003657920649378832,1.0,0.0,0.0,0.003657920649378832
2018-01-12,1014850.9857761462,0.006116877944224672,1.0,0.0,0.0,0.006116877944224672
2018-01-16,1025603.9302808263,0.010595589554910257,1.0,0.0,0.0,0.010595589554910257
2018-01-17,1022990.7980801372,-0.0025478960479154355,1.0,0.0,0.0,-0.0025478960479154355
2018-01-18,1023636.9074070018,0.0006315886008722231,1.0,0.0,0.0,0.0006315886008722231
2018-01-19,1023738.7795552934,9.951980780920822e-05,1.0,0.0,0.0,9.951980780920822e-05
2018-01-22,1023668.9600023299,-6.820055502226104e-05,1.0,0.01085174542292025,5.957566203947968e-08,-6.820055502226104e-05
2018-01-23,1030753.4899472417,0.0069207236144932125,1.0,0.0,5.9134350783523725e-08,0.0069207236144932125
2018-01-24,1035516.0255975468,0.0046204409655201525,1.0,0.0,5.8830705700507015e-08,0.0046204409655201525
2018-01-25,1036709.0410630136,0.0011520975397539975,1.0,0.0,5.873138353465944e-08,0.0011520975397539975
2018-01-26,1037490.5041139415,0.0007537920669878207,1.0,0.0,5.8655564998789566e-08,0.0007537920669878207
2018-01-29,1038682.5896447457,0.001149008618466659,1.0,0.0,5.855671918683249e-08,0.001149008618466659
2018-01-30,1029936.4557260427,-0.00842041062967498,1.0,0.0,5.902219990006258e-08,-0.00842041062967498
2018-01-31,1032816.2043602795,0.0027960449581393835,1.0,0.0,5.882595894423166e-08,0.0027960449581393835
2018-02-01,1026215.3930252997,-0.006391080336571929,1.0,0.0,5.917247968656849e-08,-0.006391080336571929
2018-02-02,1019754.5070547573,-0.00629583810031881,1.0,0.0,5.9515336813400884e-08,-0.00629583810031881
2018-02-05,1002323.035990893,-0.01709379163639067,1.0,0.012156161095767198,6.060749516684429e-08,-0.01709379163639067
2018-02-06,974200.9755094142,-0.02805688333170697,1.0,0.010723572689294775,0.0,-0.02805688333170697
2018-02-07,986999.1477205022,0.013137096485040762,0.673402449494241,0.3265975762396689,0.3221201680825319,0.013137096485040762
2018-02-08,983125.8243164293,-0.003924343210445959,0.673402449494241,0.014358530909762357,0.3277911815300181,-0.003924343210445959
2018-02-09,971173.198608975,-0.012157778192598065,0.673402449494241,0.0,0.3317383419424113,-0.012157778192598065
2018-02-12,976761.5885960509,0.00575426710197537,0.673402449494241,0.0,0.3297537738067149,0.00575426710197537
2018-02-13,977892.4840948499,0.0011578009536846524,0.673402449494241,0.0,0.3292859702753529,0.0011578009536846524
2018-02-14,979540.0251781244,0.0016847875508517803,0.673402449494241,0.0,0.3286458387288027,0.0016847875508517803
2018-02-15,992670.8897558869,0.013405133266886825,0.673402449494241,0.0,0.32421344913333544,0.013405133266886825
2018-02-16,994497.5455019132,0.0018401423521903788,0.673402449494241,0.0,0.32353300069603114,0.0018401423521903788
2018-02-20,991174.7171802146,-0.0033412131952739897,0.673402449494241,0.0,0.32453240961347657,-0.0033412131952739897
2018-02-21,990892.1853224569,-0.0002850474824070225,0.7263217933365951,0.05085423013599619,0.27366347866996676,-0.0002850474824070225
2018-02-22,987630.1961264084,-0.003291971865725178,0.7263217933365951,0.0,0.27449527642272664,-0.003291971865725178
2018-02-23,990626.7282455986,0.0030340628819804463,0.7263217933365951,0.0,0.2735931263630669,0.0030340628819804463
2018-02-26,999271.8605524955,0.008726932214122055,0.7896157172162424,0.06320887040593257,0.20848961618698156,0.008726932214122055
2018-02-27,1002914.6362440395,0.0036454300729833137,0.7896157172162424,0.0,0.20767781551873687,0.0036454300729833137
2018-02-28,997870.4670155263,-0.005029510036271781,0.7896157172162424,0.0,0.20867282495883666,-0.005029510036271781
2018-03-01,989203.3364958268,-0.00868562684856427,0.7896157172162424,0.0,0.21044590576421837,-0.00868562684856427
2018-03-02,979687.3736409148,-0.009619824866969788,0.7896157172162424,0.0,0.21243424680047882,-0.009619824866969788
2018-03-05,982966.2775494806,0.0033468879938505515,0.7896157172162424,0.011317880766833155,0.20962392147290648,0.0033468879938505515
2018-03-06,994007.8521104464,0.01123291288129675,0.7896157172162424,0.0,0.20724097816582535,0.01123291288129675
2018-03-07,988557.0872262404,-0.005483623567593663,0.7896157172162424,0.011525110560145657,0.21148515512827465,-0.005483623567593663
2018-03-08,993572.0692795508,0.00507303231964251,0.7896157172162424,0.0,0.21036246752900323,0.00507303231964251
2018-03-09,995882.2332803488,0.002325109644510378,0.7896157172162424,0.0,0.20982446279735834,0.002325109644510378
2018-03-12,1003119.5172687103,0.007267208658319468,0.8436824727444846,0.05350687345949656,0.155140350666117,0.007267208658319468
2018-03-13,1004477.734576386,0.00135399350156589,0.8436824727444846,0.0,0.15489364800359343,0.00135399350156589
2018-03-14,1001556.2833654035,-0.002908428042175137,0.8436824727444846,0.0,0.15530843253580126,-0.002908428042175137
2018-03-15,998436.1516578414,-0.003115283443760093,0.8436824727444846,0.0,0.15575664088844585,-0.003115283443760093
2018-03-16,996248.389476185,-0.0021911888687361648,0.9158003660712963,0.07155708935679336,0.08435528549084487,-0.0021911888687361648
2018-03-19,991076.9468788281,-0.005190916895811433,0.9158003660712963,0.0,0.0847752406554958,-0.005190916895811433
2018-03-20,985382.5031447808,-0.005745713036692772,0.9158003660712963,0.0,0.08524482680755598,-0.005745713036692772
2018-03-21,986921.6891167465,0.0015620187765193454,0.9158003660712963,0.0,0.08509159405352199,0.0015620187765193454
2018-03-22,982984.5805871921,-0.003989281594447472,0.9884271571193042,0.07351875570658598,0.011615140101168403,-0.003989281594447472
2018-03-23,976342.1320903067,-0.006757428985221168,0.9884271571193042,0.0,0.01169137527313538,-0.006757428985221168
2018-03-26,973869.2511859662,-0.002532801589793326,0.9884271571193042,0.018326358724385816,0.011599140055184679,-0.002532801589793326
2018-03-27,983175.4165849829,0.009555867368934547,0.9884271571193042,0.0,0.01148661087259437,0.009555867368934547
2018-03-28,968622.7267965237,-0.014801722605114918,0.9884271571193042,0.0,0.011656407958501744,-0.014801722605114918
