feature,mean,std
MACD_line_pct,0.0019132188016710244,0.013730487869260649
MACD_signal_pct,0.0018350930415172873,0.013092318929354179
MACD_hist_pct,7.812576015373744e-05,0.004054067386124797
EMA_12_26_ratio,0.0019132188016710244,0.013730487869260649
EMA_50_200_ratio,0.020362928664303843,0.061067030953308316
price_to_EMA50_ratio,0.007213308772213729,0.04109646125547998
price_to_EMA200_ratio,0.02893850828071014,0.08673458490518715
MACD_hist_weekly_pct,0.0005617303033285855,0.008422051607793794
vix_log,2.9118542939222314,0.3734755518750664
bond_yield_diff,-0.0007691876143883309,0.05607738593188769
gold_logret,0.0003401211886059468,0.011049669043953162
wti_logret,0.00026366084175979466,0.027949404037338758
fed_rate_diff,-0.024957153502235468,0.16935924601131463
m2_yoy,0.07186933048292152,0.042236283209772164
