date,account_value,daily_return,turnover,transaction_cost,drawdown,invested_ratio,cash_weight,DIA_weight,QQQ_weight,SPY_weight
2024-01-04,999339.3818658883,-0.000660618134111748,0.10857911704926519,162.86867557389778,0.0006606181341117789,0.10813511947459786,0.8918648958206177,0.04366054758429527,0.0281522274017334,0.03632234409451485
2024-01-05,998933.8948992478,-0.00040575501576187476,0.11312288861946065,169.5722363817833,0.0010661051007522238,0.2210740953167467,0.778925895690918,0.07843834906816483,0.05508902668952942,0.08754671365022659
2024-01-08,998970.8255442532,3.697005897387539e-05,0.06408034892727227,96.01804881063438,0.0010291744557467952,0.15710593843495824,0.8428940773010254,0.0581137016415596,0.050869300961494446,0.04812293499708176
2024-01-09,1000272.2726736314,0.001302787925432322,0.04609320214214072,69.0686462938687,0.0,0.20429087147651603,0.7957091331481934,0.07966624945402145,0.06657623499631882,0.05804838240146637
2024-01-10,1001150.5672661862,0.0008780555220302174,0.04355311256120598,65.347456325412,0.0,0.16152881189636903,0.8384711742401123,0.05276327207684517,0.05760008469223976,0.05116545781493187
2024-01-11,1002090.1618808814,0.0009385147902986263,0.02915463872722543,43.78227465030369,0.0,0.13595365147514682,0.8640463352203369,0.0543951690196991,0.04005192592740059,0.041506554931402206
2024-01-12,1002050.3068825437,-3.9771868693811765e-05,0.04470051153438179,67.19091425947028,3.9771868693860846e-05,0.09127793054018918,0.9087220430374146,0.03692377731204033,0.02823657914996147,0.02611757628619671
2024-01-16,1001396.2116908967,-0.0006527568398057845,0.017416050254788363,26.177637753738722,0.0006925027471402778,0.1081350944233137,0.8918648958206177,0.039500892162323,0.03215909004211426,0.036475107073783875
2024-01-17,1000701.7910617064,-0.0006934524228104724,0.013550701938106532,20.354432379858558,0.0013854749522429488,0.09397451043988514,0.9060254693031311,0.03258819133043289,0.02780635468661785,0.03357996419072151
2024-01-18,1001191.0250214057,0.0004888908604632594,0.014721652993795301,22.097976777419834,0.0008972614378212063,0.10703004469668898,0.8929699659347534,0.04360264167189598,0.027017779648303986,0.03640962392091751
2024-01-19,1001787.5119940485,0.0005957773868678823,0.03799238313732842,57.05644952440171,0.00030201861902812155,0.0696450002467458,0.9303550124168396,0.028686558827757835,0.014355608262121677,0.026602832600474358
2024-01-22,1003246.375098387,0.001456260022082599,0.036707783994459425,55.1600993979367,0.0,0.10770140872089051,0.8922985792160034,0.03827081620693207,0.03267480432987213,0.03675578534603119
2024-01-23,1003137.1095054874,-0.00010891202361824994,0.0,0.0,0.00010891202361829055,0.10760421609019655,0.8923957943916321,0.03824169933795929,0.03260272741317749,0.03675978630781174
2024-01-24,1003900.4670099983,0.0007609702574827605,0.0,0.0,0.0,0.10828278636785593,0.8917171955108643,0.03829825669527054,0.0329643078148365,0.03702022135257721
2024-01-25,1003809.0792851689,-9.103265496186073e-05,0.010700252428414908,16.11298261501589,9.103265496190893e-05,0.10086142454425973,0.8991385698318481,0.03985455632209778,0.02811412699520588,0.03289274126291275
2024-01-26,1003672.2981137388,-0.00013626213814238417,0.014461887185944013,21.775460491272664,0.00022728238879998752,0.08891207073112595,0.9110879302024841,0.03352968394756317,0.021176569163799286,0.03420582041144371
2024-01-29,1003721.4209572738,4.894310984507036e-05,0.03727543541584234,56.11848289051309,0.00017835040286184878,0.12627912637543037,0.8737208843231201,0.040302567183971405,0.040301866829395294,0.04567469283938408
2024-01-30,1004290.2849119245,0.0005667548213807814,0.021542860997934628,32.434546578497965,0.0,0.10527228643626807,0.8947277069091797,0.03509485349059105,0.03153369203209877,0.038643743842840195
2024-01-31,1003642.1744344884,-0.0006453417773457201,0.022378001152327805,33.711013729546,0.0006453417773457648,0.10849263935791864,0.8915073871612549,0.029199916869401932,0.043979745358228683,0.03531297668814659
2024-02-01,1002757.9002005542,-0.0008810652406396625,0.01695854012949588,25.530459136202666,0.0015258384297770489,0.1118779365530822,0.8881220817565918,0.033756598830223083,0.03742118924856186,0.04070014879107475
2024-02-02,1003779.1131963211,0.0010184043382382225,0.019057966674030088,28.665789966213822,0.0005089880120151546,0.10446600326020328,0.8955339789390564,0.026498984545469284,0.043241824954748154,0.03472519293427467
2024-02-05,1004549.1162516595,0.000767104082178486,0.017321885554366347,26.081020380975023,0.0,0.0878675368195111,0.9121324419975281,0.02308766171336174,0.034674085676670074,0.03010578826069832
2024-02-06,1003909.9672478898,-0.0006362546075940212,0.12561872390523415,189.28526712549626,0.0006362546075939779,0.21313381476722382,0.7868661880493164,0.09022149443626404,0.05128655210137367,0.07162576913833618
2024-02-07,1004726.11824188,0.0008129722989278801,0.03661819321674499,55.14205372934905,0.0,0.17722974274313208,0.8227702379226685,0.0689103752374649,0.04779495671391487,0.06052441522479057
2024-02-08,1004979.5342524714,0.0002522239702844337,0.07303399733511268,110.06874696329335,0.0,0.1045197432420043,0.8954802751541138,0.0333675742149353,0.033748310059309006,0.037403859198093414
2024-02-09,1005122.8047874881,0.00014256064938002284,0.011953719804392533,18.019865642404426,0.0,0.11343741189279555,0.8865625858306885,0.0435442291200161,0.03229015693068504,0.03760302811861038
2024-02-12,1005444.6009374617,0.0003201560530125253,0.0,0.0,0.0,0.11372115942826155,0.8862788677215576,0.04345160350203514,0.03250298276543617,0.03776657208800316
2024-02-13,1004261.5969249364,-0.0011765979064607827,0.01629160739749094,24.570463047600114,0.0011765979064607412,0.09638842102377376,0.9036116003990173,0.0382281132042408,0.025227418169379234,0.03293289244174957
2024-02-14,1004542.0540827551,0.0002792670342841754,0.0,0.0,0.0008976594571844521,0.09664069949651832,0.9033592939376831,0.03811123967170715,0.025455299764871597,0.03307415917515755
2024-02-15,1005200.9581925482,0.0006559248635884904,0.0692217145149234,104.30418492892682,0.00024232339075302978,0.16649574082970375,0.8335042595863342,0.06618496030569077,0.04675592854619026,0.05355485528707504
2024-02-16,1005438.2898181977,0.0002361036603827146,0.08299364742952041,125.13794088007266,6.276943809835345e-06,0.08383249915685143,0.9161674976348877,0.022966207936406136,0.033163510262966156,0.027702782303094864
2024-02-20,1004429.2355848455,-0.001003596385348169,0.02643079592012473,39.86180137269601,0.0010098670296398993,0.10940477159885009,0.8905952572822571,0.03853868693113327,0.03417171537876129,0.03669436648488045
2024-02-21,1003928.4593827503,-0.0004985679272901905,0.012461180651080938,18.774561233774843,0.001507931469618251,0.09651001954446314,0.9034900069236755,0.03522937744855881,0.030400631949305534,0.03088000975549221
2024-02-22,1005377.4314497723,0.0014433021132928888,0.01524440941488506,22.95644468712818,6.680575700224178e-05,0.08700747711978962,0.912992537021637,0.025724025443196297,0.0333167165517807,0.027966734021902084
2024-02-23,1006005.0514793582,0.0006242630975720852,0.022349234386897687,33.70412379415219,0.0,0.06527819890148878,0.934721827507019,0.025935405865311623,0.01795077882707119,0.021392015740275383
2024-02-26,1005722.5395021174,-0.0002808256050258901,0.03623956625309368,54.68578007104968,0.0002808256050258473,0.10131423208979651,0.8986857533454895,0.040428876876831055,0.02783197909593582,0.03305337578058243
2024-02-27,1005539.7027207852,-0.00018179644400013407,0.03522849258387813,53.14513353643412,0.00046257099592961204,0.07968314504689056,0.9203168749809265,0.02055283822119236,0.034700050950050354,0.024430256336927414
2024-02-28,1005126.7568795818,-0.00041067084679598443,0.03126890994327455,47.16319561314494,0.0008730518783029995,0.07867332661774373,0.9213266968727112,0.029850181192159653,0.018639197573065758,0.030183948576450348
2024-02-29,1005721.6511996306,0.000591859997733611,0.01950080575665812,29.401172470092686,0.00028170860505216666,0.09873393520207696,0.9012660384178162,0.03524871915578842,0.03037917986512184,0.033106036484241486
2024-03-01,1005821.503407151,9.928413831132132e-05,0.0,0.0,0.00018245243593695282,0.0988234077435054,0.9011765718460083,0.03516944497823715,0.030491918325424194,0.03316204249858856
2024-03-04,1006419.442260048,0.0005944780966320104,0.014426893370082159,21.766319368486045,0.0,0.09494933694509844,0.9050506353378296,0.027096226811408997,0.035928040742874146,0.03192506730556488
2024-03-05,1005759.4944447891,-0.0006557383408421351,0.03761710439057843,56.78787783030592,0.0006557383408420936,0.13200372089927281,0.8679962754249573,0.044608816504478455,0.035551801323890686,0.051843103021383286
2024-03-06,1005641.1388421599,-0.0001176778377763025,0.0252182762052197,38.04528109039623,0.0007733390127483419,0.11195878031228124,0.8880411982536316,0.037489186972379684,0.038123294711112976,0.03634629771113396
2024-03-07,1005859.7103543737,0.00021734543643017924,0.04285811171449347,64.64982040978158,0.000556161658023413,0.06936278323113476,0.9306372404098511,0.017041131854057312,0.02634553611278534,0.025976115837693214
2024-03-08,1006156.243329568,0.00029480550035134215,0.02776342868931015,41.88917150981072,0.0002615201171879411,0.09742989485993925,0.9025701284408569,0.03042721189558506,0.032168976962566376,0.03483370691537857
2024-03-11,1005217.1810071687,-0.000933316598316469,0.013097817610023429,19.767676443475548,0.0011945926344382185,0.0834946774971439,0.9165053367614746,0.0276707261800766,0.02989935129880905,0.025924600660800934
2024-03-12,1005688.0757718022,0.00046845077216218193,0.0,0.0,0.0007267014701181074,0.08392381409379102,0.9160761833190918,0.02782360464334488,0.030036991462111473,0.0260632187128067
2024-03-13,1006251.6376271571,0.0005603744032884453,0.0,0.0,0.0001667342917323067,0.08443687223518515,0.9155631065368652,0.027983054518699646,0.030219513922929764,0.026234302669763565
