date,portfolio_value,step_return,scalar,turnover,cash_weight,eqw_matched_return
2024-01-04,995867.1461551724,-0.004132853844827623,1.0,1.0,0.0,-0.004132853844827623
2024-01-05,994037.2576626976,-0.0018374825392519492,1.0,0.0,0.0,-0.0018374825392519492
2024-01-08,991517.044079149,-0.0025353311096954143,1.0,0.0,0.0,-0.0025353311096954143
2024-01-09,998065.2541064839,0.006604233448570092,1.0,0.0,0.0,0.006604233448570092
2024-01-10,1001532.5889000891,0.0034740562095906093,1.0,0.0,0.0,0.0034740562095906093
2024-01-11,1004360.9117339797,0.0028239948107896353,1.0,0.0,0.0,0.0028239948107896353
2024-01-12,1008672.7101991783,0.004293076736483598,1.0,0.011720624278445974,5.97722900436119e-08,0.004293076736483598
2024-01-16,1001177.2354090015,-0.007431027640964672,1.0,0.0,6.064948283210699e-08,-0.007431027640964672
2024-01-17,992872.1811210327,-0.008295288780288738,1.0,0.0,6.159318005643674e-08,-0.008295288780288738
2024-01-18,994881.4206691759,0.002023663857592061,1.0,0.0,6.190739804705215e-08,0.002023663857592061
2024-01-19,1001043.4980877939,0.0061937807768822255,1.0,0.0,6.196533818167492e-08,0.0061937807768822255
2024-01-22,1011065.033647921,0.010011089007890646,1.0,0.0,6.178891711924987e-08,0.010011089007890646
2024-01-23,1008645.0174622226,-0.0023935316771533815,1.0,0.012695202584040083,0.0,-0.0023935316771533815
2024-01-24,1015351.949788227,0.006649447734227838,1.0,0.0,0.0,0.006649447734227838
2024-01-25,1012934.9104408408,-0.0023804941211668968,1.0,0.0,0.0,-0.0023804941211668968
2024-01-26,1011323.7015246067,-0.001590634205245102,1.0,0.0,0.0,-0.001590634205245102
2024-01-29,1013773.5291555659,0.0024223971288975187,1.0,0.0,0.0,0.0024223971288975187
2024-01-30,1021274.6247924898,0.007399182777214588,1.0,0.0,0.0,0.007399182777214588
2024-01-31,1019981.9751045501,-0.001265721928812559,1.0,0.0,0.0,-0.001265721928812559
2024-02-01,1018227.3728244466,-0.0017202287127903754,1.0,0.0,0.0,-0.0017202287127903754
2024-02-02,1019885.8624701854,0.0016288008847555094,1.0,0.0,0.0,0.0016288008847555094
2024-02-05,1020382.3940961289,0.0004868501900211471,1.0,0.0,0.0,0.0004868501900211471
2024-02-06,1019754.5982836415,-0.0006152554337665548,1.0,0.010957067595795261,0.0,-0.0006152554337665548
2024-02-07,1023853.362633721,0.004019363439966963,1.0,0.0,0.0,0.004019363439966963
2024-02-08,1024199.4294042347,0.0003380042329729386,1.0,0.0,0.0,0.0003380042329729386
2024-02-09,1024284.1346100277,8.270382052661608e-05,1.0,0.0,0.0,8.270382052661608e-05
2024-02-12,1025568.0423365964,0.001253468332844548,1.0,0.0,0.0,0.001253468332844548
2024-02-13,1013859.8635380454,-0.011416286696956468,1.0,0.0,0.0,-0.011416286696956468
2024-02-14,1013734.4176600662,-0.0001237309834334608,1.0,0.0,0.0,-0.0001237309834334608
2024-02-15,1020857.1484336848,0.007026229601693499,1.0,0.011457833945324958,0.0,0.007026229601693499
2024-02-16,1020381.6914581985,-0.00046574290655246184,1.0,0.0,0.0,-0.00046574290655246184
2024-02-20,1018741.3553011843,-0.0016075711380806627,1.0,0.0,0.0,-0.0016075711380806627
2024-02-21,1015641.6273843795,-0.003042703528893677,1.0,0.0,0.0,-0.003042703528893677
2024-02-22,1024262.388386903,0.008487994948301646,1.0,0.010940267906134726,0.0,0.008487994948301646
2024-02-23,1031554.1223325771,0.007119009765806006,1.0,0.011253636535058426,5.960461063267889e-08,0.007119009765806006
2024-02-26,1033078.5279757092,0.0014777757270602765,1.0,0.0,5.994133910646187e-08,0.0014777757270602765
2024-02-27,1031033.0672918669,-0.0019799663127742415,1.0,0.0,6.048881597809787e-08,-0.0019799663127742415
2024-02-28,1027523.6033471698,-0.0034038325792159953,1.0,0.0,6.112850474559394e-08,-0.0034038325792159953
2024-02-29,1034472.638356545,0.00676289574929338,1.0,0.0,6.115112810800797e-08,0.00676289574929338
2024-03-01,1035009.4638607857,0.0005189363974803093,1.0,0.0,6.155552819958154e-08,0.0005189363974803093
2024-03-04,1043437.7067003872,0.008143155337114016,1.0,0.0,6.149400207832648e-08,0.008143155337114016
2024-03-05,1047310.8604900063,0.0037119166431765134,1.0,0.0,6.1703752961475e-08,0.0037119166431765134
2024-03-06,1048097.4340396378,0.000751041146716938,1.0,0.015515700275098715,0.0,0.000751041146716938
2024-03-07,1053933.5969896535,0.005568340080293553,1.0,0.0,0.0,0.005568340080293553
2024-03-08,1056260.675879581,0.0022079938400048995,1.0,0.0,0.0,0.0022079938400048995
2024-03-11,1050759.9387425878,-0.005207745836426654,1.0,0.0,0.0,-0.005207745836426654
2024-03-12,1050893.4840462203,0.00012709401901286302,1.0,0.0,0.0,0.00012709401901286302
2024-03-13,1053938.1216881315,0.0028971895707150972,1.0,0.0,0.0,0.0028971895707150972
2024-03-14,1051820.6901366026,-0.0020090662895249425,1.0,0.0,0.0,-0.0020090662895249425
2024-03-15,1042148.9083361663,-0.009195276239698444,1.0,0.0,0.0,-0.009195276239698444
2024-03-18,1044245.05991138,0.0020113743424251687,1.0,0.010724717589432803,5.990848656605564e-08,0.0020113743424251687
2024-03-19,1042049.9833656551,-0.0021020703185431204,1.0,0.0,6.046306080614582e-08,-0.0021020703185431204
2024-03-20,1046753.1509093142,0.004513379990150399,1.0,0.0,6.06208894921811e-08,0.004513379990150399
2024-03-21,1062802.630235975,0.015332630537312993,1.0,0.0,6.013147577177455e-08,0.015332630537312993
2024-03-22,1060792.8403947821,-0.0018910282906869917,1.0,0.0,6.067528221969411e-08,-0.0018910282906869917
2024-03-25,1055706.761734554,-0.004794601232730072,1.0,0.0,6.140263145238409e-08,-0.004794601232730072
2024-03-26,1058537.6586737426,0.00268151824142647,1.0,0.0,6.167538587628734e-08,0.00268151824142647
2024-03-27,1060249.953889729,0.0016176044394412912,1.0,0.0,6.201515422118539e-08,0.0016176044394412912
2024-03-28,1065144.8956855878,0.004616780956132807,1.0,0.0,6.21706347671598e-08,0.004616780956132807
2024-04-01,1066949.7334100357,0.0016944527751656293,1.0,0.0,6.250833552363111e-08,0.0016944527751656293
2024-04-02,1055617.6927210444,-0.010620969605356597,1.0,0.01000808061526351,0.0,-0.010620969605356597
2024-04-03,1055523.8298687171,-8.891746791903838e-05,1.0,0.0,0.0,-8.891746791903838e-05
2024-04-04,1067288.5032965294,0.011145815087164394,1.0,0.0,0.0,0.011145815087164394
2024-04-05,1053215.184196124,-0.01318604956104851,1.0,0.0,0.0,-0.01318604956104851
2024-04-08,1061198.9577686859,0.007580382140669082,1.0,0.011915109889387182,0.0,0.007580382140669082
2024-04-09,1066154.9260551012,0.004670159398606951,0.941814050305605,0.05818593155229512,0.05832362165557001,0.004670159398606951
2024-04-10,1055057.8920138087,-0.01040846294483001,0.941814050305605,0.0,0.05935761099091755,-0.01040846294483001
2024-04-11,1057677.3541986942,0.002482766305729158,0.941814050305605,0.0,0.05963310180041039,0.002482766305729158
2024-04-12,1061582.3543610354,0.0036920523511630153,0.941814050305605,0.0,0.05983768954634541,0.0036920523511630153
2024-04-15,1056588.3248248466,-0.0047043260616315636,0.941814050305605,0.010615030305042489,0.058877163823164144,-0.0047043260616315636
2024-04-16,1045581.6404796975,-0.010417192852262202,0.941814050305605,0.0,0.059921495232558776,-0.010417192852262202
2024-04-17,1049774.3184766865,0.004009900169120654,0.941814050305605,0.0,0.06010803746083956,0.004009900169120654
2024-04-18,1046619.7979641652,-0.003004951118540173,0.941814050305605,0.0,0.060719396808972044,-0.003004951118540173
2024-04-19,1043491.4037303461,-0.0029890455348774215,0.941814050305605,0.010023412103616958,0.05877592323530567,-0.0029890455348774215
2024-04-22,1036454.2973295944,-0.006743808694154069,0.9979592069674375,0.05673517934666686,0.002069084199825972,-0.006743808694154069
2024-04-23,1038760.0802275648,0.002224683619828886,0.9979592069674375,0.0,0.002079222525017022,0.002224683619828886
2024-04-24,1045422.2643878579,0.0064135927892353855,0.9979592069674375,0.0,0.0020807139524560894,0.0064135927892353855
2024-04-25,1032372.8873314497,-0.01248239826234159,0.9979592069674375,0.013229816656649046,0.0020813651811718565,-0.01248239826234159
2024-04-26,1043679.2388348286,0.010951809798690471,0.935879926119567,0.062038802540322985,0.0638721714235497,0.010951809798690471
2024-04-29,1049576.5737785134,0.005650524341433273,0.935879926119567,0.0,0.06396648671665774,0.005650524341433273
2024-04-30,1045331.6690589853,-0.004044397355636696,0.935879926119567,0.0,0.0646845291247263,-0.004044397355636696
2024-05-01,1037286.2142339982,-0.007696557047993843,0.935879926119567,0.0,0.06565137473231128,-0.007696557047993843
2024-05-02,1039441.4680832276,0.0020777812523238926,0.935879926119567,0.0,0.06598273202624934,0.0020777812523238926
2024-05-03,1054606.8006740008,0.014589886065194811,0.935879926119567,0.0,0.06549794386321703,0.014589886065194811
2024-05-06,1060002.4760699968,0.005116291107309087,0.8493828046981012,0.08511918103129959,0.15090043407739726,0.005116291107309087
2024-05-07,1065807.790971682,0.005476699378296318,0.8493828046981012,0.0,0.15114938345513249,0.005476699378296318
2024-05-08,1062590.2861330053,-0.003018841545287733,0.8493828046981012,0.0,0.15268885239512092,-0.003018841545287733
2024-05-09,1066256.3346205752,0.0034501054031949073,0.8493828046981012,0.0,0.1532496353600834,0.0034501054031949073
2024-05-10,1077199.9096382866,0.010263549826042183,0.9182087339899238,0.07145841448337792,0.08152923272068745,0.010263549826042183
2024-05-13,1077961.8735929336,0.0007073561256637422,0.9182087339899238,0.0,0.08205294340333259,0.0007073561256637422
2024-05-14,1076961.0690476445,-0.0009284229524309392,0.9182087339899238,0.0,0.08271522638714641,-0.0009284229524309392
2024-05-15,1087566.6177653715,0.009847662113826853,0.9182087339899238,0.0,0.08249307642899051,0.009847662113826853
2024-05-16,1095027.6138724457,0.006860265831259463,0.9182087339899238,0.0,0.0825156261340752,0.006860265831259463
2024-05-17,1094890.3999639992,-0.0001253063454365731,0.9182087339899238,0.0,0.08311483068863854,-0.0001253063454365731
2024-05-20,1096340.3188408788,0.0013242593751185416,0.9182087339899238,0.0,0.08359719168308223,0.0013242593751185416
2024-05-21,1098928.378390618,0.0023606352017367938,0.9182087339899238,0.0,0.08399541638951853,0.0023606352017367938
2024-05-22,1097958.3969786789,-0.0008826611733874416,0.9939107989941613,0.07790614645609423,0.006137420479197058,-0.0008826611733874416
2024-05-23,1097743.1438360126,-0.00019604854178321336,0.9939107989941613,0.0,0.006182426060602755,-0.00019604854178321336
2024-05-24,1086185.8985629093,-0.01052818716108486,0.9939107989941613,0.012613987668493004,0.0061977954573430695,-0.01052818716108486
2024-05-28,1090621.8889483763,0.004084006606360883,0.9939107989941613,0.0,0.006216631026236822,0.004084006606360883
2024-05-29,1078319.7825916994,-0.011279900469024247,0.9939107989941613,0.0,0.006332418812327369,-0.011279900469024247
2024-05-30,1076083.751395889,-0.0020736253121834453,0.9939107989941613,0.011341453365533438,0.006145298751235951,-0.0020736253121834453
2024-05-31,1077533.0707568147,0.001346846245978099,0.9939107989941613,0.0,0.006180823872958745,0.001346846245978099
2024-06-03,1082944.658125101,0.0050222007241831935,0.9939107989941613,0.0,0.0061938204936292,0.0050222007241831935
2024-06-04,1083625.8685008776,0.0006290352610964672,0.9939107989941613,0.0,0.006234094995801083,0.0006290352610964672
2024-06-05,1092186.6747778074,0.007900149420365064,0.9939107989941613,0.012401273254403572,0.006084537049150589,0.007900149420365064
2024-06-06,1098510.3579863934,0.005789928914736511,0.9939107989941613,0.0,0.0060926770584859985,0.005789928914736511
2024-06-07,1091668.8741797013,-0.00622796476788142,0.9939107989941613,0.0,0.006174606549925114,-0.00622796476788142
2024-06-10,1086554.7424204953,-0.0046846913749821,0.9939107989941613,0.011302978552850174,0.006161420686618747,-0.0046846913749821
2024-06-11,1088457.6600300593,0.001751331557694865,0.9939107989941613,0.0,0.006194536777997284,0.001751331557694865
2024-06-12,1104973.6796100435,0.015173782303602085,0.9939107989941613,0.0,0.006145487566304621,0.015173782303602085
2024-06-13,1104526.3864083185,-0.00040479986987821553,0.9258025194238543,0.068052042074526,0.07474959629667191,-0.00040479986987821553
2024-06-14,1106077.6311948453,0.0014044433936712805,0.9258025194238543,0.0,0.07517738919017466,0.0014044433936712805
2024-06-17,1105773.6726060545,-0.0002748076447965902,0.983364001092276,0.05854137545339039,0.016757853829518634,-0.0002748076447965902
2024-06-18,1112878.9612773191,0.006425626552058456,0.983364001092276,0.0,0.016769673730865735,0.006425626552058456
2024-06-20,1115323.787634898,0.0021968483929040964,0.983364001092276,0.0,0.016852311660052945,0.0021968483929040964
2024-06-21,1116153.087997883,0.0007435512199947694,0.983364001092276,0.0,0.016959950633474243,0.0007435512199947694
2024-06-24,1112593.5327062097,-0.0031891282028869436,0.983364001092276,0.0,0.01713561593215092,-0.0031891282028869436
2024-06-25,1111695.6470006914,-0.0008070204249114562,0.983364001092276,0.0,0.01727182572957381,-0.0008070204249114562
2024-06-26,1106462.2524905116,-0.004707578485441801,0.983364001092276,0.0,0.01747734470694783,-0.004707578485441801
2024-06-27,1111182.0223937568,0.004265640235463544,0.983364001092276,0.0,0.017527289082258212,0.004265640235463544
2024-06-28,1114939.162076225,0.003381209924882033,0.983364001092276,0.0,0.01759286975904054,0.003381209924882033
2024-07-01,1105755.2227525746,-0.008237166328024776,0.983364001092276,0.0,0.017865565204304053,-0.008237166328024776
2024-07-02,1105250.9011434817,-0.00045608792860816,0.983364001092276,0.017077081909897873,0.0167619956994254,-0.00045608792860816
2024-07-03,1114838.7975625987,0.008674859626169453,0.983364001092276,0.0,0.016736414767103983,0.008674859626169453
2024-07-05,1123377.5137758898,0.007659148777347419,0.983364001092276,0.0,0.016727717275629054,0.007659148777347419
2024-07-08,1128466.2848312324,0.004529885094671588,0.983364001092276,0.0,0.01677110661271099,0.004529885094671588
2024-07-09,1128083.7394908383,-0.0003389958083252324,0.983364001092276,0.0,0.016896504584234234,-0.0003389958083252324
